Ticker,Date,BOED,OCF/BOED,ROA,CostExpenses/BOED,Stock/Oil ZScore,PGR,Monthly Return
MTDR,2025-06-30,184659.0,6655.001922462485,1.331792540897932,3285.233863499748,1.31644336544987,30.38,-0.565803803382953
CNX,2025-06-30,297254.0,1675.829425339945,4.812276372135903,1267.5388724794284,2.154148453995384,14.96,-14.340854750419355
CRC,2025-06-30,107500.0,1534.8837209302326,2.562574493444577,6613.953488372093,1.087861038485903,82.89,6.196628275236759
GPOR,2025-06-30,168368.0,2427.3199182742565,6.233102896916563,1169.1532832842345,1.8412163660444,-8.46,-17.408164533088407
DMLP,2025-06-30,7603.65,8405.962925700158,3.791703518081761,2636.6284613310713,2.590445522713466,16.63,-9.428307257347246
REPX,2025-06-30,14929.5,5627.850899226364,2.9480430392998223,3793.8310057269164,-0.151087004138892,16.37,4.414948644770519
GTE,2025-06-30,32243.0,3346.6798995130725,-0.7508149887209801,4998.41826132804,-0.831816631324618,53.07,-24.947590397879125
CKX,2025-06-30,150000.0,0.6268400000000001,0.852671350053087,-0.15822,-0.006566086637649001,0.0,9.81308606964336
CVX,2024-12-31,3338000.0,9434.391851408029,6.873642668659365,52512.2828040743,0.7074895899667161,6.99,8.438964960876866
NFG,2024-12-31,150000.0,1467.2533333333333,0.5419054603486041,3088.6066666666666,0.25365521140109304,0.0,18.984826490602508
FANG,2024-12-31,336954.0,19032.27146732195,4.9604707840456514,19794.986852804836,1.616905683519102,34.0,-4.175052802363753
DVN,2024-12-31,737000.0,8955.223880597016,9.482108301354588,3839.89145183175,-0.145110558668943,12.5,5.8356399549796985
EXE,2024-12-31,627855.0,2492.6137404336987,-2.559690255969025,8024.145702431294,0.8792778514436881,3.0,5.806116778015205
RRC,2024-12-31,2175504.0,434.15870529311826,3.624820096152864,995.8515360118851,0.222270256257694,1.73,7.476374978802998
CNX,2024-12-31,251513.0,3243.48642018504,-1.063146513770187,5515.213925323939,2.091154926017386,-1.7046000000000001,-17.671115239856775
CRC,2024-12-31,110000.0,5545.454545454545,5.2697967764541,23536.363636363636,1.139747462211327,27.91,-7.053380165251508
TALO,2024-12-31,65800.0,14629.072948328267,-1.2337779270793041,27365.395136778116,-0.9204737696728801,40.08,-3.604535325383166
DMLP,2024-12-31,46586.0,2847.185849826128,25.20337393542196,1482.7201305113124,2.723359752483977,22.53,-1.8622047667164132
GTE,2024-12-31,27890.0,8580.88920760129,0.194345254102189,20881.60631050556,0.16760961941646402,6.86,-20.885203663876894
MXC,2024-12-31,225.33,13052.478586961344,2.401382107803467,11887.129987129987,0.9937670010741401,21.37,2.3936176374607943
CKX,2024-12-31,22061.19,9.28150294703051,1.32764287943108,63.6471559331115,0.20849016764788603,51.31,-9.682541508673365
CVX,2025-03-31,13412000.0,386.8923352221891,1.365070574148683,3133.5371309275274,1.5424031061481451,0.21,-15.314717742223738
SLNG,2025-03-31,100000.0,10.25,-1.9239104261979292,194.01,-0.938452405998868,0.0,14.226805583261816
EOG,2025-03-31,1090400.0,2099.2296404988997,3.113958537312162,3494.1305942773292,1.43497097578399,5.99,-9.0391699544703
FANG,2025-03-31,475944.0,4948.061116433866,2.005252190791539,4990.082866891903,1.5288782790967361,-5.8,-9.419563065413099
DVN,2025-03-31,388000.0,5005.154639175258,1.597258147956544,7293.81443298969,0.326777516090129,-3.893,-9.19787437803177
EXE,2025-03-31,1167276.0,938.9381774319013,-0.8913868404095361,2110.897508387048,1.337599408529762,250.0,1.7876448891387322
RRC,2025-03-31,393409.0,839.032660666126,1.31458253078403,1476.3744601674084,0.44111929742750305,1.62,1.227150672542429
MTDR,2025-03-31,198631.0,3664.478354335426,2.166433060480465,3145.5664020218396,1.16288790558782,31.18,-9.51436958766174
CNX,2025-03-31,67489.0,3195.4244395382952,-2.185490878506206,5262.887285335388,1.447430644887513,5.27,3.303687835611266
CRC,2025-03-31,111000.0,1675.6756756756756,1.684488062106342,6540.540540540541,0.39715207600693103,0.0,-0.43211298837093304
GPOR,2025-03-31,154880.0,1144.6280991735537,-0.015741700408978,1194.6022727272727,1.161291462547649,-11.81,6.90236057130219
TALO,2025-03-31,100900.0,2658.483647175421,-0.16091146200651701,4654.192269573836,-0.9208828120419321,25.28,-10.802470801328747
DMLP,2025-03-31,2712.53,12311.015915031354,5.054463983864221,9408.928196185849,2.397320717198312,16.93,-2.547630216552585
CKX,2025-03-31,100000.0,1.1866400000000001,0.609612940907585,2.36034,0.00478082091366,0.0,-8.593087733137017
NFG,2024-09-30,178667.0,5966.188495916986,0.931672389981934,9711.28412073858,0.37066540213799304,5.18,1.088926584963484
EOG,2024-09-30,1401067.0,6694.897531666937,3.625056878507508,2766.4629885651434,1.353502536940177,7.73,9.076754112214504
FANG,2024-09-30,321054.0,12683.224628878632,1.002327102377294,6027.023491375283,2.03944924979478,13.94,4.3561664059848
DVN,2024-09-30,330000.0,5039.393939393939,2.683144433797046,8575.757575757576,0.597617105497636,6.71,-1.993872720491723
EXE,2024-09-30,591720.0,1999.2564050564456,-0.8512544802867381,1357.0607719867505,0.33681472216276803,3.94,16.206696268026295
RRC,2024-09-30,367410.0,1977.692496121499,0.6995426099418841,1493.897825317765,-0.00032122268525000005,3.84,10.825750386528387
MTDR,2024-09-30,214073.0,7810.074133589944,2.337232407546776,2371.7470208760565,1.15177855823921,29.69,15.82357094083871
CNX,2024-09-30,192640.0,2839.3999169435215,0.767622673517099,1773.5257475083056,1.746962062541639,-1.11,18.145532400331223
CRC,2024-09-30,149000.0,1476.510067114094,4.84006734006734,5604.026845637584,1.367536805316677,88.61,11.511335130941417
GPOR,2024-09-30,1057164.0,474.08443723017433,-0.439468673029266,226.38398583379683,0.689693566004236,0.0262,7.53880934468973
TALO,2024-09-30,128667.0,4766.225994233176,1.377902059609856,3775.1793389136296,-0.777001924835208,51.63,15.652172230442352
REPX,2024-09-30,28949.0,6214.238833811185,2.571765000626331,2931.3965940101557,-0.26873048712840103,20.1,28.534490838471797
CVX,2024-06-30,3143500.0,4174.646095116908,1.701170945811144,14043.263877843168,0.264476669728947,11.83,-7.570931315714628
NFG,2024-06-30,100000.0,8680.15,-0.638577570172138,4688.82,-0.6937510520411381,0.0,8.448642518159096
COP,2024-06-30,1860500.0,5323.300188121472,2.426193303748151,3516.2590701424347,1.034303662439199,6.95,-3.706857359107799
EOG,2024-06-30,1047500.0,5529.355608591885,3.736953829824871,3718.3770883054895,0.581527034792595,7.93,0.696726096272231
FANG,2024-06-30,266017.5,10762.449838826393,2.348682549036114,4988.3936207204415,1.871912477890687,7.53,-3.5638944232081533
TPL,2024-06-30,24900.0,9860.763052208835,8.708753897845478,1570.7630522088352,-0.580295438464238,0.0441,13.028733316302768
DVN,2024-06-30,686000.0,2237.6093294460643,3.354264366902472,4125.364431486881,0.5977524434760111,5.21,-6.7881644841223725
EXE,2024-06-30,459010.0,1657.9159495435829,-1.6681363903586122,1740.702816932093,-0.22010956795516,-23.59,-12.521209665842077
RRC,2024-06-30,358825.0,1339.6641817041734,0.39503329308775603,1449.4502891381592,-0.178893751341167,3.47,-10.35307202570172
MTDR,2024-06-30,160305.0,6621.683665512616,2.6855893325394433,3016.22532048283,1.141145365832647,22.6707,-6.80296409090435
CNX,2024-06-30,129306.0,2914.2499187972717,-0.21226429898381402,2603.7925540964843,0.12558488389376501,1.63,9.745939734615597
CRC,2024-06-30,76000.0,1276.3157894736842,0.178173719376391,6276.315789473684,0.42986630386295105,0.0,-6.8138587707478475
MUR,2024-06-30,182259.0,5263.065198426415,1.290720357399153,3393.2425833566517,1.028532759231705,-1.6099999999999999,-10.518609387386896
GPOR,2024-06-30,181058.0,1720.3713727092975,-0.8094512981267921,1100.398767245855,0.19404262806518502,1.0405,-5.701175430183735
NOG,2024-06-30,31014.0,23622.364093635133,2.9326106576044353,11021.796607983491,1.032249049092893,35.72,2.149680106862864
TALO,2024-06-30,95500.0,4039.6858638743456,0.19461304918141,5181.09947643979,-0.8460705566913891,35.9,-1.008402431981781
DMLP,2024-06-30,4419.0,12986.64856302331,13.422635785742283,3107.490382439466,1.729990158265899,11.03,1.30852299379805
REPX,2024-06-30,13479.5,7994.806929040395,3.344909103780122,3842.2048295559925,-0.442138458450727,21.67,-2.321465776365268
GTE,2024-06-30,52004.0,2577.878624721175,2.636374443310447,2679.1592954388125,0.703344424894614,-4.42,-14.36004332718225
MXC,2024-06-30,456185.0,2.3644223286605213,1.50377606473617,5.871580608744259,0.6043181496676601,-3.47,-0.9640612254039
NFG,2023-12-31,7529.0,35986.718023641915,1.548997076212705,42270.02257935981,-0.6324631869650801,9.4,-6.796882186976626
COP,2023-12-31,1826000.0,10933.734939759037,11.422584546098996,3582.694414019715,1.576983232276402,5.063,-5.126219064343347
EOG,2023-12-31,984658.0,11516.689043302345,17.315365848097226,14810.218370236164,0.8333435001578821,8.42,-7.4928728838163785
TPL,2023-12-31,10140.0,41251.282051282054,35.078320785750236,14353.254437869822,-0.9220996547531901,10.06,-8.634301523472407
DVN,2023-12-31,658000.0,9945.288753799392,15.300122498979174,4300.911854103343,0.788527174139778,7.87,-7.637970455692095
EXE,2023-12-31,630607.0,3774.1414224707305,16.826655537006122,8847.03151090933,-0.134024042888994,-8.62,-1.416706533164434
RRC,2023-12-31,356426.8333333333,2743.5981484746053,12.09266944155827,6381.475206926527,-0.14890939536303302,0.84,-5.223383306262667
CNX,2023-12-31,264700.0,3077.4008311295806,19.94649839445338,4578.855307895731,-0.03646501266949,-3.41,-3.850002288818359
CRC,2023-12-31,52000.0,12557.692307692309,14.107053526763382,38942.307692307695,1.111159785129276,-6.06,-4.023410845353728
GPOR,2023-12-31,175667.0,4116.772074436291,45.015000246357204,4650.019639431424,0.18497400182075102,7.22,-3.52852631826146
NOG,2023-12-31,60310.0,19620.643342729232,20.582437885445856,17317.144752114076,1.359358929094574,30.87,-11.38387579430648
TALO,2023-12-31,49500.0,10486.242424242424,3.8895344962293743,25214.060606060608,-0.36548814680054603,11.38,-13.633166850252888
DMLP,2023-12-31,31038.0,4505.509375604098,59.72679454635857,1600.683033700625,2.007814164798378,-9.89,-1.203037640048325
MXC,2023-12-31,414.0,8151.490338164252,1.8494623978142721,6469.871980676328,0.318140868520762,-2.47,9.63854932228332
CKX,2023-12-31,14.58,60147.66803840878,0.759888985545732,93537.79149519891,0.196544543671194,-26.1,3.39505848061874
CVX,2024-03-31,3346000.0,2040.6455469216976,2.1024188709387692,12191.87089061566,0.249627290667737,12.32,2.8476204976891593
NFG,2024-03-31,150000.0,3908.4066666666668,1.9162328102085682,2528.7733333333335,-0.794858105125796,0.0,5.866927459157176
COP,2024-03-31,1902000.0,2620.925341745531,2.67546251625624,3439.5373291272344,1.499074377739178,6.14,-5.338792929707854
EOG,2024-03-31,1028800.0,2821.7340590979784,3.9936601482275202,3744.167962674961,0.6200233806915291,9.1,0.42115771028806503
FANG,2024-03-31,273341.0,4880.350916986475,2.586729538565173,4057.203273566717,1.6737122447095172,9.7,0.28206156187741105
TPL,2024-03-31,24800.0,5937.258064516129,9.086699969027217,1536.3306451612902,-0.9730479352864541,19.97,6.407067772644938
DVN,2024-03-31,319000.0,5448.275862068966,2.38609976779566,8871.473354231975,0.790421366444029,0.302,-2.198242167075812
EXE,2024-03-31,373000.0,1479.8927613941019,0.185475816806962,2812.332439678284,-0.038894217936041,-85.5,1.181054407358008
RRC,2024-03-31,356916.0,929.9947326541819,1.249870960976836,1499.2715372804805,-0.132469182394044,-0.0456,4.941090377201469
MTDR,2024-03-31,149760.0,3128.752670940171,2.354701021437212,3129.9412393162393,1.584155765261155,41.95,-5.927674073276166
CNX,2024-03-31,384932.0,480.77322747913917,0.079141542413328,982.5995240717841,0.09750088264353601,3.31,0.917819053004957
CRC,2024-03-31,76000.0,1144.7368421052631,-0.25575447570332405,6105.263157894737,0.46611477369533205,-8.43,-11.071903094080291
MUR,2024-03-31,176671.0,5429.532860514742,0.9308386856557751,3635.882516089228,1.622862968372716,-1.71,-5.384465608314038
GPOR,2024-03-31,181676.0,1034.9303155067262,1.5990684930496522,1108.9136704903235,0.31695555412444104,-0.34,-5.092910777948105
NOG,2024-03-31,29800000.0,13.159295302013422,0.250463927993455,11.544530201342281,1.156487291880351,38.2,1.235825168189239
TALO,2024-03-31,318400.0,302.84547738693465,-1.747471086587309,1137.2079145728644,-0.624374466069141,26.64,-11.781611597227712
DMLP,2024-03-31,803705.0,34.797593644434215,9.829989394628054,15.941172445113567,1.944454967890691,-19.92,-4.440311378247651
REPX,2024-03-31,20374.0,2754.736428781781,1.9613829851751312,2413.71355649357,-0.245280144469205,56.46,-21.698202250560865
GTE,2024-03-31,25845.0,2353.5306635712905,-0.005561854236635,5453.743470690656,-0.38327673043734706,1.9959,28.333333554091283
MXC,2024-03-31,421.67,10515.177745630468,7.056835631355379,6352.187729741267,0.6225839556597851,-5.66,3.035490984223549
